Postcode,shortPostcode,Avg_download,District,Town,County
BD100AA,BD10,39.7,BRADFORD,BRADFORD,WEST YORKSHIRE
BD100AB,BD10,72,BRADFORD,BRADFORD,WEST YORKSHIRE
BD100AE,BD10,28,BRADFORD,BRADFORD,WEST YORKSHIRE
BD100AF,BD10,91.9,BRADFORD,BRADFORD,WEST YORKSHIRE
BD100AG,BD10,11.9,BRADFORD,BRADFORD,WEST YORKSHIRE
BD100AH,BD10,32,BRADFORD,BRADFORD,WEST YORKSHIRE
BD100AJ,BD10,69.2,BRADFORD,BRADFORD,WEST YORKSHIRE
BD100AL,BD10,73,BRADFORD,BRADFORD,WEST YORKSHIRE
BD100AN,BD10,53.3,BRADFORD,BRADFORD,WEST YORKSHIRE
BD100AP,BD10,23.5,BRADFORD,BRADFORD,WEST YORKSHIRE
BD100AQ,BD10,65.4,BRADFORD,BRADFORD,WEST YORKSHIRE
BD100AT,BD10,60.2,BRADFORD,BRADFORD,WEST YORKSHIRE
BD100AU,BD10,81.8,BRADFORD,BRADFORD,WEST YORKSHIRE
BD100AW,BD10,66.4,BRADFORD,BRADFORD,WEST YORKSHIRE
BD100AX,BD10,75,BRADFORD,BRADFORD,WEST YORKSHIRE
BD100BA,BD10,19.4,BRADFORD,BRADFORD,WEST YORKSHIRE
BD100BB,BD10,46.4,BRADFORD,BRADFORD,WEST YORKSHIRE
BD100BD,BD10,61.7,BRADFORD,BRADFORD,WEST YORKSHIRE
BD100BE,BD10,60.2,BRADFORD,BRADFORD,WEST YORKSHIRE
BD100BG,BD10,49.6,BRADFORD,BRADFORD,WEST YORKSHIRE
BD100BJ,BD10,45.3,BRADFORD,BRADFORD,WEST YORKSHIRE
BD100BL,BD10,82.8,BRADFORD,BRADFORD,WEST YORKSHIRE
BD100BN,BD10,51.8,BRADFORD,BRADFORD,WEST YORKSHIRE
BD100BP,BD10,58.2,BRADFORD,BRADFORD,WEST YORKSHIRE
BD100BS,BD10,30.4,BRADFORD,BRADFORD,WEST YORKSHIRE
BD100BW,BD10,60.1,BRADFORD,BRADFORD,WEST YORKSHIRE
BD100BX,BD10,69,BRADFORD,BRADFORD,WEST YORKSHIRE
BD100BY,BD10,64.8,BRADFORD,BRADFORD,WEST YORKSHIRE
BD100DA,BD10,71.5,BRADFORD,BRADFORD,WEST YORKSHIRE
BD100DB,BD10,49.7,BRADFORD,BRADFORD,WEST YORKSHIRE
BD100DH,BD10,92.1,BRADFORD,BRADFORD,WEST YORKSHIRE
BD100DJ,BD10,53.2,BRADFORD,BRADFORD,WEST YORKSHIRE
BD100DL,BD10,54.3,BRADFORD,BRADFORD,WEST YORKSHIRE
BD100DN,BD10,58.9,BRADFORD,BRADFORD,WEST YORKSHIRE
BD100DP,BD10,99.8,BRADFORD,BRADFORD,WEST YORKSHIRE
BD100DR,BD10,73.1,BRADFORD,BRADFORD,WEST YORKSHIRE
BD100DS,BD10,61.4,BRADFORD,BRADFORD,WEST YORKSHIRE
BD100DT,BD10,69.1,BRADFORD,BRADFORD,WEST YORKSHIRE
BD100DW,BD10,45.5,BRADFORD,BRADFORD,WEST YORKSHIRE
BD100DX,BD10,46,BRADFORD,BRADFORD,WEST YORKSHIRE
BD100DZ,BD10,86.6,BRADFORD,BRADFORD,WEST YORKSHIRE
BD100EA,BD10,51,BRADFORD,BRADFORD,WEST YORKSHIRE
BD100EP,BD10,74.8,BRADFORD,BRADFORD,WEST YORKSHIRE
BD100ER,BD10,67.5,BRADFORD,BRADFORD,WEST YORKSHIRE
BD100ES,BD10,73,BRADFORD,BRADFORD,WEST YORKSHIRE
BD100ET,BD10,87.8,BRADFORD,BRADFORD,WEST YORKSHIRE
BD100EY,BD10,66.5,BRADFORD,BRADFORD,WEST YORKSHIRE
BD100FA,BD10,83.7,BRADFORD,BRADFORD,WEST YORKSHIRE
BD100FB,BD10,75.7,BRADFORD,BRADFORD,WEST YORKSHIRE
BD100FF,BD10,9.2,BRADFORD,BRADFORD,WEST YORKSHIRE
BD100HD,BD10,45,BRADFORD,BRADFORD,WEST YORKSHIRE
BD100HE,BD10,89.3,BRADFORD,BRADFORD,WEST YORKSHIRE
BD100HF,BD10,54.6,BRADFORD,BRADFORD,WEST YORKSHIRE
BD100HJ,BD10,69.5,BRADFORD,BRADFORD,WEST YORKSHIRE
BD100HL,BD10,64.2,BRADFORD,BRADFORD,WEST YORKSHIRE
BD100HN,BD10,72.7,BRADFORD,BRADFORD,WEST YORKSHIRE
BD100HS,BD10,54.5,BRADFORD,BRADFORD,WEST YORKSHIRE
BD100HW,BD10,57.5,BRADFORD,BRADFORD,WEST YORKSHIRE
BD100HX,BD10,64.1,BRADFORD,BRADFORD,WEST YORKSHIRE
BD100HY,BD10,53.5,BRADFORD,BRADFORD,WEST YORKSHIRE
BD100JA,BD10,49.6,BRADFORD,BRADFORD,WEST YORKSHIRE
BD100JB,BD10,64.2,BRADFORD,BRADFORD,WEST YORKSHIRE
BD100JF,BD10,49.2,BRADFORD,BRADFORD,WEST YORKSHIRE
BD100JG,BD10,71.1,BRADFORD,BRADFORD,WEST YORKSHIRE
BD100JH,BD10,52.7,BRADFORD,BRADFORD,WEST YORKSHIRE
BD100JJ,BD10,59.8,BRADFORD,BRADFORD,WEST YORKSHIRE
BD100JL,BD10,59.3,BRADFORD,BRADFORD,WEST YORKSHIRE
BD100JN,BD10,60.5,BRADFORD,BRADFORD,WEST YORKSHIRE
BD100JP,BD10,47.8,BRADFORD,BRADFORD,WEST YORKSHIRE
BD100JQ,BD10,48.2,BRADFORD,BRADFORD,WEST YORKSHIRE
BD100JR,BD10,54.8,BRADFORD,BRADFORD,WEST YORKSHIRE
BD100JS,BD10,76.3,BRADFORD,BRADFORD,WEST YORKSHIRE
BD100JT,BD10,66.5,BRADFORD,BRADFORD,WEST YORKSHIRE
BD100JU,BD10,67.1,BRADFORD,BRADFORD,WEST YORKSHIRE
BD100JX,BD10,64.7,BRADFORD,BRADFORD,WEST YORKSHIRE
BD100JY,BD10,60.8,BRADFORD,BRADFORD,WEST YORKSHIRE
BD100LB,BD10,53.3,BRADFORD,BRADFORD,WEST YORKSHIRE
BD100LE,BD10,71.6,BRADFORD,BRADFORD,WEST YORKSHIRE
BD100LH,BD10,41.3,BRADFORD,BRADFORD,WEST YORKSHIRE
BD100LJ,BD10,49.7,BRADFORD,BRADFORD,WEST YORKSHIRE
BD100LL,BD10,57.6,BRADFORD,BRADFORD,WEST YORKSHIRE
BD100LP,BD10,23.9,BRADFORD,BRADFORD,WEST YORKSHIRE
BD100LQ,BD10,21.2,BRADFORD,BRADFORD,WEST YORKSHIRE
BD100LR,BD10,34.6,BRADFORD,BRADFORD,WEST YORKSHIRE
BD100LS,BD10,26.8,BRADFORD,BRADFORD,WEST YORKSHIRE
BD100LT,BD10,34.7,BRADFORD,BRADFORD,WEST YORKSHIRE
BD100LU,BD10,40.2,BRADFORD,BRADFORD,WEST YORKSHIRE
BD100LW,BD10,28.2,BRADFORD,BRADFORD,WEST YORKSHIRE
BD100LZ,BD10,39.9,BRADFORD,BRADFORD,WEST YORKSHIRE
BD100NA,BD10,16.5,BRADFORD,BRADFORD,WEST YORKSHIRE
BD100NB,BD10,70.3,BRADFORD,BRADFORD,WEST YORKSHIRE
BD100ND,BD10,33.7,BRADFORD,BRADFORD,WEST YORKSHIRE
BD100NF,BD10,44.3,BRADFORD,BRADFORD,WEST YORKSHIRE
BD100NH,BD10,77.1,BRADFORD,BRADFORD,WEST YORKSHIRE
BD100NQ,BD10,23.4,BRADFORD,BRADFORD,WEST YORKSHIRE
BD100NT,BD10,28.7,BRADFORD,BRADFORD,WEST YORKSHIRE
BD100NX,BD10,10.2,LEEDS,BRADFORD,WEST YORKSHIRE
BD100NY,BD10,6.1,BRADFORD,BRADFORD,WEST YORKSHIRE
BD100NZ,BD10,8.4,BRADFORD,BRADFORD,WEST YORKSHIRE
BD100PA,BD10,20.8,LEEDS,BRADFORD,WEST YORKSHIRE
BD100PH,BD10,33.8,LEEDS,BRADFORD,WEST YORKSHIRE
BD100PJ,BD10,22.9,LEEDS,BRADFORD,WEST YORKSHIRE
