"shortPostcode","Town","District","County","Population2020","Population2021","Population2022","Population2023","Population2024"
"DN85","DONCASTER","DONCASTER","SOUTH YORKSHIRE",7965.82086747507,8009.03544568112,8048.43990007387,8084.73836402321,8118.85595991938
"S368","SHEFFIELD","BARNSLEY","SOUTH YORKSHIRE",1875.93541164968,1886.11236125788,1895.39203407527,1903.94025214895,1911.97488001302
"S366","SHEFFIELD","BARNSLEY","SOUTH YORKSHIRE",7144.7007807224,7183.46078245782,7218.80340950752,7251.36021288439,7281.96095298277
"S252","SHEFFIELD","ROTHERHAM","SOUTH YORKSHIRE",9276.63870324841,9326.96446821353,9372.85313339714,9415.12470102876,9454.8565272671
"DN68","DONCASTER","DONCASTER","SOUTH YORKSHIRE",9228.83740453706,9278.90384745667,9324.55605438616,9366.60980219144,9406.13689555668
"S205","SHEFFIELD","SHEFFIELD","SOUTH YORKSHIRE",5953.91731726867,5986.21731871485,6015.66950792293,6042.80017740366,6068.30079415231
"DN12","DONCASTER","DONCASTER","SOUTH YORKSHIRE",32410.3427773746,32586.1688869418,32746.4928378656,32894.1795205644,33032.9929581411
"DN50","DONCASTER","DONCASTER","SOUTH YORKSHIRE",10438.7413874753,10495.3715595024,10547.0087875751,10594.5757972071,10639.2849070713
"S254","SHEFFIELD","ROTHERHAM","SOUTH YORKSHIRE",7015.10614866054,7053.16309951702,7087.86466196664,7119.83093159211,7149.87661812343
"S137","SHEFFIELD","SHEFFIELD","SOUTH YORKSHIRE",10256.0342012897,10311.6731868317,10362.406618911,10409.1410727622,10453.0676480893
"DN47","DONCASTER","DONCASTER","SOUTH YORKSHIRE",8249.44190649572,8294.19512883846,8335.00256887234,8372.59343045796,8407.92577473449
"DN76","DONCASTER","DONCASTER","SOUTH YORKSHIRE",9530.51671195977,9582.21976512215,9629.36428636655,9672.79271929807,9713.6119045735
"S712","BARNSLEY","BARNSLEY","SOUTH YORKSHIRE",9640.9908245371,9693.29319976022,9740.98420230304,9784.91604105543,9826.20838674868
"S715","BARNSLEY","BARNSLEY","SOUTH YORKSHIRE",8689.21385464009,8736.35283980152,8779.33569577334,8818.93049976128,8856.14638647027
"S627","ROTHERHAM","ROTHERHAM","SOUTH YORKSHIRE",9235.2109110319,9285.31193022425,9330.99566492096,9373.07845536975,9412.63284645141
"S705","BARNSLEY","BARNSLEY","SOUTH YORKSHIRE",8280.24718788747,8325.16752888176,8366.12735312386,8403.85858748645,8439.32287072564
"S352","SHEFFIELD","SHEFFIELD","SOUTH YORKSHIRE",6540.27991479451,6575.76093333227,6608.11367712426,6637.91626980809,6665.92827646668
"DN33","DONCASTER","DONCASTER","SOUTH YORKSHIRE",31289.6678853641,31459.4143336422,31614.1946521638,31756.774670045,31890.7882591526
"S367","SHEFFIELD","BARNSLEY","SOUTH YORKSHIRE",1761.21229474245,1770.76687144143,1779.47904444892,1787.50449493939,1795.04776390803
"S614","ROTHERHAM","ROTHERHAM","SOUTH YORKSHIRE",8635.0390494339,8681.88413627708,8724.59900622757,8763.94694774565,8800.93080386514
"S818","WORKSOP","ROTHERHAM","SOUTH YORKSHIRE",8186.76909262973,8231.18231495725,8271.67973194684,8308.98500753792,8344.04892426973
"S667","ROTHERHAM","ROTHERHAM","SOUTH YORKSHIRE",10727.6736819084,10785.8713116327,10838.9377984859,10887.8214079571,10933.7680142987
"DN11","DONCASTER","DONCASTER","SOUTH YORKSHIRE",30443.0537726321,30608.2073393486,30758.7997194582,30897.521906193,31027.9094486371
"S201","SHEFFIELD","SHEFFIELD","SOUTH YORKSHIRE",7275.35766386675,7314.82647919323,7350.81542547086,7383.96760303973,7415.12794632456
"DN10","DONCASTER","DONCASTER","SOUTH YORKSHIRE",12838.3665827849,12908.0147214965,12971.5221539262,13030.0237188404,13085.0104189339
